제목,아이디,댓글 제목,내용,작성일자
경복궁,yuri,관광하기 좋은 곳,경복궁 안에서 다양한 문화행사를 많이 하는데그것도 함께 참여해 보고 주변으로도 볼거리가 많아요. 경복궁 자체만으로 사진찍기 좋은 명소인데 서울 여행가면 무조건 한장씩 찍어 오지요. 갈 때마다 외국인들이 더 많은 느낌이지만 국내여행 하시는 분들도 많이 찾으셨음 좋겠어요,2019년 3월 23일
경복궁,Jaechul L,관광객들의 머스트 방문 장소,가족과 함께 가기 좋은 대표 관광지로외국인들이 찾는 명소이기도 함.한복을 입으면 입장 무료.사진기 필수.외국어/국어 해설이 있으니 시간 맞춰 가면 좋음,2019년 3월 19일
경복궁,binsjins,한국인이라면 꼭 가봐야할 곳!,"정말 많은 관광객들이 있고, 한복을 입으면 입장료 혜택이 있기 때문에 조선의 멋과 정취를 느끼려면 하루쯤 한복대여 후 보는 것도 추천합니다. 궁이 넓고, 역사를 모르면 그냥 사진찍기 밖에는 되지 않으므로 문화해설사의 설명을 듣는다면 훨씬 흥미를 느낄 수 있어요.",2019년 3월 12일
경복궁,7654,사색에 잠기기좋아요,사진찍기도 좋고 한복을 대여하여 체험하거나 한복입은 분들을 보면서 사색에 잠겨보아요 복잡한 도심속 한가운데 있어서 매력잇어요,2019년 2월 26일
경복궁,무호2,한국의 전통을 볼 수 있는 곳,많은 내외국인들이 찾는 한국의 궁궐이다. 한복을 입고 입장하면 입장료 혜택이 있어서 많은 사람들이 옷을 빌려서 입고 다니며 사진을 찍고 있다. 일제강점기에 훼손된 부분을 계속해서 복원하고 있다. 옛날 한국의 건축미와 임금의 생활상을 볼 수 있다. 별도로 박물관을 방문할 수도 있다.,2019년 2월 7일 
경복궁,KIM Gyunghee,조선의 정궁,"조선이라는 나라가 세워질 때, 나라의 발전에 염원을 두고 만들어진 왕의 살림집이자 근무하는 장소입니다. 지금 건물들은 대부분 전쟁으로 인해 소실된 것을 재건한 것이지만 로열건축을 보고 싶으신 분들께 추천합니다.",2019년 2월 7일 
경복궁,gingertea,고즈넉한 우리의 궁,어렸을 때 소풍으로만 오다가 커서 방문을 해보니 새삼 멋있는 곳이라는 것이 느껴졌습니다. 상당히 넓어서 꼭 편안한 신발을 신어야 합니다.,2019년 2월 4일 
경복궁,blue,경복궁 너무 멋집니다,친구들과 시간 보내기 좋은곳 같습니다사진찍기도 너무 좋고 게다가 한복입고 입장하면 무료라니 너무 즐거웠어요!정말 강추에요!!,2019년 1월 31일
경복궁,동하 신,대한민국 대표 랜드마크,외국인 친구들이 한국 여행한다고 하면 솔직히 경복궁밖에 추천할만한 곳이 없음. 최대한 가꾸고 보존해야 합니다. 야간개장 최고.,2019년 1월 19일
경복궁,따스뚜스,다 돌아보려면 체력+시간 여유 필수,"우리나라 궁 중에 외국인들도 우리나라 사람들도 가장 많이 찾는 명소인듯해요. 조카들 방학숙제 할 때도 가끔 가고, 혼자 산책하기도 좋아요~ 지하주차장 있고, 주말 아니면 여유있어요. 주말엔 경복궁에 주차하고 삼청동 다녀와도 좋구요~",2019년 1월 14일
경복궁,BoardingPass781294,세계 최고의 궁전!,경복궁은 세계 최고의 궁전입니다!앞에 있는 위병들이 인상깊었습니다.궁전안에 들어가서 마음대로 사진찍고 돌아다닐수 있다는게 좋았습니다.,2019년 1월 11일
경복궁,So Mi S,봄과 가을에 방문을 추천드립니다.,"경복궁은 조용하고 너무 좋지만 주변으로 돌담길과 예쁜 까페, 레스토랑 들이 많이 있습니다. 산책을 추천드립니다.매우 넓으므로 운동화를 신고 가십시오",2018년 12월 30
경복궁,경경 팍,대한민국의 역사와 전통이 깃든 곳,봄여름가을겨울 언제나 아름다운 곳! 조선시대의 대표적인 궁궐로 한복을 입고 방문하면 무료입장 가능합니다! 해설을 들으며 경복궁 투어하면 역사를 쏙쏙 알수 있어서 더 잘보이고 아름답게 느껴지는 것 같아요~,2018년 12월 27
경복궁,snoopy419,아름다운 경복궁,"2월에 방문했을 때는 수문장 교대 시간이어서 그런지 사람들이 많았습니다. 단아한 경복궁은 방문할 때마다 그 아름다움에 감탄하게 됩니다.거대하거나 화려하지 않지만, 우리에게 옛 선조의 발자취를 알려주는 살아있는 역사로 느껴집니다.",2018년 12월 26
경복궁,SungHee,다시 가고싶은 곳입니다.,작년 여름에 다녀왔네요.한국적인 미의 건축미가 어우러져 넋놓고 한참동안이나 바라봤네요. 시간에 맞춰가면 국악을 연주하는 것도 무료로 관람하실 수 있으니 참고하세요,2018년 12월 17
경복궁,한기 문,경복궁,"아침에 일찍 갔는데도 이미 많은 사람들이 방문한 상태였다. 입장료는 (24세 이하까지)없지만 매표소에서 무료 입장권을 받고나서 들어가야 한다.난 경복궁 내에 있는 여러 궁들을 핸드폰을 통해 안내서와 함께 설명을 통해서 하나하나 차근차근 둘러보았는데 전부 다 둘러보니 약 2시간 30분 정도 걸린것 같다.대부분 사람들이 광화문,근정전 그리고 경회루에 많이 몰려 있었는데 의외로 을미사변이 일어난 건청궁에는 사람들이 없었다. 탐방은 매우 만족스러웠으며 각 시설마다 4개 국어(한국어,중국어,일본어,영어)로간략히 설명되어 있어서 외국인들도 보는데 좀 더 도움이 될것같고 또한 인터넷 홈페이지에서 한국어&영어 안내책자를 다운받을수 있으니 방문할때 설명을 참고해가면서보면 각 건물들의 구조나 쓰임 용도를 알수 있으므로 매우 유용한것 같다.",2018년 12월 8일
경복궁,Sabina Kim,경복궁,정말 한번에 다 그곳을 알아보고 즐길수 없는게 아쉬워서 다시 한번 해설을 들으며 방문할 생각입니다.가을의 왕궁은 정말 비교 할수 없는 운치가 있습니다,2018년 11월 11
경복궁,Pioneer63323744438,경복궁,경복궁은 봄이나 가을에 가면 제일 좋죠 선선한데다 꽃피거나 단풍지면 절경입니다. 요새는 근처에 한복 대여 서비스도 있어서 많이 이용하더라구요,2018년 11월 1일
경복궁,jieun kim,경복궁 야간개장,낮의 경복궁도 너무 예쁘고 좋지만 밤의 경복궁도 분위기 장난 아님. 경복궁 내 에서 가장 아름답다는 경회루도 너무 좋았다. 어렸을때는 숙제때문에 갔는데 커서 가보니 느낌이 색다르다.,2018년 11월 1일
경복궁,H L,가을에 아름다운 경복궁,한복입은 사람들이 엄청 많네요. 단풍이 들어서 참 아름다워요~ 지금 한국인은 50퍼센트 할인해서 1500원에 들어갈 수 있어요. 경회루를 지나 왕실의 개인 연회장소영역은 지금 공사중이라 (내년 12월까지 공사예정) 들어갈 수 없어 아쉬웠는데 민속박물관옆 추억의 거리 근처 건물들이 참 흥미로웠어요. 다방에서 사진도 찍고요~ 단풍이 아름다워서 강추입니다~!,2018년 10월 28
한국 전쟁 기념관,Sejin Ahn,대한민국 전쟁의 역사!,"대한민국을 세계에 알려지게 한 중요한 일은 역시 한국전쟁일 것이다. 이것으로 대표되는 우리의 전쟁 역사를 알리고 호국 자료를 전시하는 공간으로 1994년 개관한 곳으로, 과거부터 한국전쟁 후의 해외 파병까지 방대한 내용을 담으며 야외공간까지 폭넓게 활용하고 있다. 특별 전시도 자주 진행하며 전사자들의 명부도 포함하고 있다.",2023년 10월 30
한국 전쟁 기념관,달록,여름 서울여행,"여름 서울여행지로 안성맞춤이다.아이들에겐 전쟁역사 공부도 하고, 사진 찍기도 좋다.넓은 실내 공간에서 시원하고 편안한 관람이 가능하며 입장료는 무료다.소요시간은 2~3시간 이상이며, 부대시설로 식사9500원, 그밖에 커피숍과 간단한 디저트 카페도 있다.무엇보다 역사를 통해 현재를 바라볼수 있는 안목을 키울수 있다",2023년 8월 2일 
한국 전쟁 기념관,Kylie Park,꼭 한번 방문할만한 곳.,대한민국 전쟁의 역사가 기록된 기념관입니다. 건물 자체도 상당히 커서 압도적이고요. 한번쯤 방문해서 역사에 대해 공부해보기 좋은 곳입니다.,2020년 3월 5일 
한국 전쟁 기념관,DAEHEONKIM,아시아에서 가장 큰 전쟁 박물관,아시아에서 가장 큰 전쟁 박물관입니다. 지하철이 옆에 있어 접근하기 좋습니다. 또한 미국 밖에서 B-52를 전시하고 있는 두 곳중 한 곳 입니다.,2020년 2월 21일
한국 전쟁 기념관,jasmin0313,감사함을  느끼는 곳,"한국전쟁과 관련해서 여러가지 전시물이 있으며 비행기 탱크 등   전쟁에 쓰인  전시물도 있다.우리 어머니 아버지등  선조들의  용기와 희생 및 얼굴도  이름도 모르는  타국을,타인을  구하기  위해  한국전쟁에  참전하셨던 외국군들께도  감사의  마음을 전한다.",2020년 2월 12일
한국 전쟁 기념관,JKOK,외국인이 많이 방문하는 워뮤지엄,한국사에서 빼놓을 수 없는 것이 전쟁사라고 하죠.. 한 번 쯤은 가보면 굉장히 유익하다고 느끼실 수 있을 겁니다. 정말 오랜만에 다녀갑니다~,2020년 2월 1일 
한국 전쟁 기념관,YJ Lee,아이들이 좋아해요!!,조카들이 서울에 오면 여러 박물관을 데리고 가는데 초등학교 4학년인 남자조카가 엄청 좋아했던 곳이에요~ 각종 총이며 무기들이 전시되어 있어 하나하나 꼼꼼이 들여다보았고 야외에는 비행기 등 큰 탈 것들이 전시되어 있어서 사진찍기 좋았습니다! 저희는 따뜻한 봄날에 방문해서 더 좋았는지도 모르겠어요~ 3~4시간 정도는 거뜬히 보내고 올 수 있을 정도로 볼거리가 많았습니다!,2020년 1월 19일
한국 전쟁 기념관,bluejay3786,세계 최대의 전쟁박물관?,한국 전쟁 기념관이 세계 최대의 전쟁박물관이라고 들은 바 있는데 실제로도 규모가 상당하 넓습니다. 전쟁박물관의 특성 상 프로파간다로 보일 수 있겠지만 방어적 국가/민족주의의 한 형태로 본다면 그럭저럭 이해할 수 있으며 실제로도 한민족의 역사가 그러했기도 하니 크게 거부감을 가지실 필요는 없습니다. 단기간 한국을 방문하는 외국인들에게는 방문을 권하고 싶진 않지만 한국에서 장기간 거주하는 외국인이라면 적어도 한국과 한국인을 이해하기 위한 취지로 방문하시길 권하는 바입니다.,2019년 12월 12
한국 전쟁 기념관,Yeonseok Yoo,"넓은규모, 한적함, 많은 전시물","매우 규모가 넓으며, 많은 자료들이 구비되어있다.VR체험 등의 체험시설들이 생각보다 많이 구비되어있으며 전시관의 리뉴얼을 계속 진행가고 있어서 생각보다 볼거리가 많은 편이다.야외 전시장에는 아시아 유일의 B-52 폭격기가 전시되어 있다.(미국으로부터 공여 받음)",2019년 10월 24
한국 전쟁 기념관,tomjk2015,한국전쟁과 관련된 박물관,"1950~53년 사이 북한과의 전쟁을 기록한 기념관입니다. 북한의 침범으로 인해 발생한 이 전쟁은 미국, UN이 남한을 돕고 북한은 중국공산당이 원조했던 내란으로 많은 한국인이 죽은 비극적인 사건이었습니다. 자유민주주의를 지키기 위해 희생된 많은 사람들을 기린곳",2019년 9월 17일
한국 전쟁 기념관,youngnox,가볼만해요,"한번은 가볼만 합니다. 좀 낡고 애매하지만... 관람 순서도 애매하고, 영어버전의  터치스크린 사용도 그랬어요. 규모에 비해 전시물도 부족한 느낌이 들었습니다. 외국인들도 많이 가는데 한국 역사를 더 쉽게 이해할 수 있게 안내되면 좋겠네요",2019년 9월 4일 
한국 전쟁 기념관,407yjj,특별한 곳,서울 여행 중에 들를만한 곳입니다. 박물관도 볼만하고요. 하지만 많이 낡은 점이 아쉽습니다. 리모델링을 했으면 좋겠다고 생각했어요,2019년 8월 28일
한국 전쟁 기념관,junggilwoo,한국의 역사와 전쟁,"전쟁이 좋은일도 아닌데 왜 기념관인지 모르겠다. 전쟁박물관이 더 적합하다. 여기 오면  한국의 역사와 전쟁사에 대해 알 수 있다. 당시 전쟁의 진행도, 사용했던 무기 등을 전시해 놓았다. 특히 6.25에 대한 비중이 높고 건물 밖에는 6.25전때 전사하신 순국선열들의 이름이 기록되어 있다.",2019년 8월 2일 
한국 전쟁 기념관,G K,아시아 최대의 전쟁무기박물관,이지만 밀덕을 위한 곳이라기보다는 한국으로 파견된 군 가족이나 참전용사들을 위한 곳 같은 느낌이 더 크다. 물론 보통 전역자나 일반 밀덕도 충분히 재미있을 수 있음.,2019년 6월 16일
한국 전쟁 기념관,Roy Kang,전쟁역사와 한국전쟁의 의의를 깨닭은 계기,"박물관은 입장료가 없고 크고 넓으며, 1,2,3층으로 구성되어 있습니다. 하지만 1,2층도 충분하므로  3층은 지루하게 느껴질 수 있습니다. 아이들 혹은 연인과 같이 가면 즐거울 것 입니다.",2019년 6월 7일 
한국 전쟁 기념관,진실평가,정확히는 전쟁기념관,트립에 한국전쟁기념관이라고 되어있는데 정확히는 그냥 전쟁기념관이다.전쟁을 왜 기억하는지 모르겠다. 희생자 추모관이라고 하면 더 좋을텐데,2019년 5월 31일
한국 전쟁 기념관,승환 이,아이와 함께 주말 방문,집 근처여서 주말에 다녀온 곳. 아이가 너무 어리다면 조금 가기 불편할 수도 있다. 편의 시설이 조금 부족한 편이니 간단한 음료등은 싸가는 것을 추천. 그래도 볼 것도 많고 시간 보내기 좋다.,2019년 5월 28일
한국 전쟁 기념관,yong2lee,숭고한 정신이 숨쉬는곳,기념관 입구! 6.25전쟁으로 순직하신 분들의 이름을 하나하나 새겨 놓은 기념비를 보면서이렇게 많은 분들의 희생이 있었기에 내가 이자리에 서 있다는것이 너무나 감사했다당신들의 희생 잊지 않겠습니다,2019년 5월 25일
